location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
GW,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824
GY,69.774,,11.6,25.1,268.873,182.082,107.8,30.5,,1.0398,0.8023,230.527283,74.853691
HK,84.934146,,4.5,,61.901,33.104,,,,,,,
HN,75.08800000000001,2.0,7.3,15.1,166.99900000000002,115.541,60.7,14.0,,0.7357,0.3089,195.935745,95.423988
HR,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.1396480000001,98.994057
HT,63.66,12.7,6.7,49.5,257.443,197.41,184.3,26.5,,0.6798,0.2343,62.353279,25.083417999999998
HU,76.2,30.6,6.9,3.6,168.058,80.586,38.8,23.0,,6.9157,3.4075,981.4230349999999,263.947113
ID,71.509,39.4,6.3,21.1,177.53900000000002,125.66799999999999,112.4,26.4,1.2,2.4149,0.4269,114.97178600000001,39.786812
IE,82.3,24.3,3.2,3.1,71.29899999999999,41.591,11.9,10.3,,16.0996,3.3125,4976.862305,611.214233
IL,82.802439,25.2,9.7,3.0,70.873,39.638000000000005,15.4,9.6,,5.7002,4.6249,3144.626221,699.707214
IM,77.96585,,,,,,,,,,,,
IN,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937
IQ,70.454,,8.8,22.5,185.81099999999998,129.1,75.1,21.3,,2.0448,0.7079,210.31370499999997,122.072998
IR,76.479,11.0,9.6,12.4,83.38600000000001,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.54406699999998
IS,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,,16.2132,4.0778,6086.311522999999,1003.047241
IT,83.4,23.7,5.0,2.6,,,15.0,9.5,,5.7401,3.9774,2840.130615,667.027588
JM,74.368,16.8,11.3,12.4,175.46400000000003,104.39,25.4,14.7,,0.8068,1.3061,307.196045,52.928936
JO,74.405,,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625
JP,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.986328,535.619568
KE,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419660999999998
KG,71.4,26.5,6.1,16.9,210.66299999999998,94.014,110.7,24.9,,,,78.822838,44.43766
KH,69.57,17.2,6.4,24.0,199.97099999999998,132.376,149.8,21.1,0.8,0.6855,,82.075867,49.603271
KI,68.116,47.0,22.5,41.2,235.02,153.03799999999998,140.2,28.4,1.9,3.8342,,171.41748,0.192364
KM,64.118,14.0,12.3,51.3,245.52700000000002,194.435,172.4,22.9,,0.6285,0.2715,58.760929000000004,43.863341999999996
KN,71.33659,,13.3,9.8,,,,,,4.2188,2.6758,902.6589970000001,431.199463
KP,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,
KR,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.6894530000001
KW,75.398,22.5,12.2,6.7,69.179,41.12,103.8,17.4,,7.4145,2.6463,1529.0776369999999,192.897873
